word	isHomograph	biggest	biggest.stderr	dominance	NormDictRankAgreement	NumMeanings	p1	p2	p3	p4	p5	p6	pExistDef	dictsp1p2	dictsp1p3	dictsp1p4	dictsp1p5	sp1p2	sp1p3	sp1p4	sp1p5	sp1p6	NumSenses	NumInterpWordNet	verbInterp	nounInterp	adjectiveInterp	imag	inSFFAN	wordCaseSensitive	wf	log10wf	len	coltN	OLD	posBigram	nPhon	nSyll
bank	0	78	1.8	0.68	0.06	2	22	78	1	0	0	0	99	99	NA	NA	NA	99	100	100	100	100	12	18	6	6	0	560	1	bank	84.98	3.64	4	21	1	184	4	1
banker	0	92	1.6	0.93	1	3	92	2	3	2	0	0	98	96	98	NA	NA	96	98	100	100	100	4	2	0	4	0	565	1	banker	4.76	2.39	6	14	1.2	1650	6	2
bar	0	94	1.3	0.92	0.93	2	91	4	5	0	0	0	95	95	NA	NA	NA	96	100	100	100	100	12	18	4	7	0	596	1	bar	85.98	3.64	3	35	1	34	3	1
bark	0	63	1.7	0.35	0.93	2	62	38	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	10	9	6	4	0	539	1	bark	5.49	2.45	4	25	1	205	3	1
barker	0	89	1.6	0.85	0.88	2	81	19	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	3	2	0	3	0	N/A	0	Barker	2.92	2.18	6	10	1.35	1718	5	2
barrow	0	83	2.5	0.79	0.93	3	79	16	5	0	0	0	100	95	100	NA	NA	95	100	100	100	100	3	3	0	3	0	N/A	0	Barrow	1.2	1.79	6	9	1.45	618	4	2
base	0	86	2	0.79	1	2	86	14	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	9	29	2	5	2	436	1	base	35.37	3.26	4	18	1	151	3	1
bass	0	59	2.2	0.32	0.67	3	46	47	7	0	0	0	100	93	100	NA	NA	93	100	100	100	100	5	9	0	4	1	544	1	bass	7.55	2.59	4	23	1	168	3	1
bat	0	52	2.1	0.3	0.8	3	49	36	14	1	0	0	99	85	99	NA	NA	85	99	100	100	100	6	10	3	3	0	586	1	bat	20.63	3.02	3	39	1	37	3	1
batter	0	52	2.2	0.35	0.14	3	24	43	34	0	0	0	100	76	100	NA	NA	76	100	100	100	100	5	5	3	2	0	N/A	0	batter	3.98	2.31	6	17	1	1703	5	2
bay	0	82	2.1	0.73	1	2	82	18	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	3	10	0	3	0	570	1	Bay	24.24	3.09	3	34	1	33	2	1
bear	0	72	2.2	0.54	0.35	2	32	67	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	13	15	8	4	1	572	1	bear	57.41	3.47	4	21	1	159	3	1
beaver	0	96	0.8	0.95	1	2	96	4	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	8	0	4	0	612	1	Beaver	4.82	2.39	6	10	1.4	1407	5	2
beetle	0	83	2.8	0.76	0.94	3	81	8	7	5	0	0	95	88	95	NA	NA	88	95	100	100	100	7	6	3	3	1	640	1	beetle	2.06	2.03	6	1	1.9	591	4	2
bent	0	93	1.1	0.92	1	2	93	7	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	7	9	1	4	2	N/A	1	bent	7.22	2.57	4	27	1	152	4	1
blaze	0	85	2.1	0.82	1	3	85	10	3	2	0	0	98	95	98	NA	NA	95	98	100	100	100	11	10	6	5	0	N/A	1	blaze	2.1	2.03	5	6	1.4	184	4	1
bleak	0	96	0.8	0.95	1	2	96	4	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	3	3	0	1	2	435	0	bleak	1.08	1.75	5	2	1.8	179	4	1
blow	0	62	2.1	0.32	0.43	2	45	55	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	17	29	12	5	0	458	1	blow	97.57	3.7	4	11	1.05	81	3	1
bluff	0	84	2.3	0.76	0.06	2	16	84	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	8	7	3	3	2	N/A	1	bluff	6.22	2.5	5	1	1.8	147	4	1
bob	0	64	2.8	0.47	0.64	3	50	42	9	0	0	0	100	91	100	NA	NA	91	100	100	100	100	12	12	6	6	0	N/A	0	Bob	91.49	3.67	3	32	1	31	3	1
boil	0	77	1.7	0.66	1	2	77	23	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	9	7	7	2	0	533	1	boil	5.94	2.48	4	8	1.4	117	3	1
bolt	0	89	1.9	0.83	1	2	89	9	2	0	0	0	98	98	NA	NA	NA	98	100	100	100	100	15	16	8	6	0	551	1	bolt	6.88	2.55	4	17	1	171	4	1
bongo	0	87	2	0.81	0.06	2	13	87	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	2	2	0	2	0	N/A	0	Bongo	2.69	2.14	5	6	1.5	294	5	2
boom	0	82	2.1	0.72	1	2	82	18	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	12	10	5	7	0	N/A	1	boom	21.8	3.05	4	12	1.05	165	3	1
bop	0	74	2	0.6	0.27	2	33	67	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	3	4	1	2	0	N/A	0	bop	1.84	1.98	3	27	1	28	3	1
bore	0	63	2.3	0.56	0.12	4	23	55	4	19	0	0	100	78	96	100	NA	78	96	100	100	100	11	6	7	4	0	404	0	bore	7.75	2.6	4	26	1	213	3	1
boring	0	86	1.8	0.81	0	2	11	83	3	3	0	0	94	94	NA	NA	NA	94	97	100	100	100	4	3	0	3	1	390	1	boring	27.41	3.15	6	10	1.35	1128	5	2
